Laufzeit zum Lösen des Modells: 0.489 s
Gesamtlaufzeit: 0.48 s
Total Length: 328.7 cm

| Zeichen   |   Kosten |   Wort |
| 玩        |        6 |  11113 |
| 詞        |        6 | 000010 |
| 若        |        6 | 000011 |
| 料        |        6 | 000100 |
| 入        |        6 | 000101 |
| 及        |        6 | 000110 |
| 省        |        6 | 000111 |
| 經        |        6 | 001000 |
| 略        |        6 | 001001 |
| 金        |        6 | 001010 |
| 丞        |        6 | 001011 |
| 席        |        6 | 001100 |
| 心        |        6 | 001101 |
| 酬        |        6 | 001110 |
| 恩        |        6 | 001111 |
| 客        |        6 | 010000 |
| 屈        |        6 | 010001 |
| 指        |        6 | 010010 |
| 世        |        6 | 010011 |
| 登        |        6 | 010100 |
| 甲        |        6 | 010101 |
| 秀        |        6 | 010110 |
| 樓        |        6 | 010111 |
| 絕        |        6 | 011000 |
| 句        |        6 | 011001 |
| 炊        |        6 | 011010 |
| 煙        |        6 | 011011 |
| 卓        |        6 | 011100 |
| 午        |        6 | 011101 |
| 散        |        6 | 011110 |
| 輕        |        6 | 011111 |
| 絲        |        6 | 100000 |
| 萬        |        6 | 100001 |
| 家        |        6 | 100010 |
| 飯        |        6 | 100011 |
| 熟        |        6 | 100100 |
| 訊        |        6 | 100101 |
| 招        |        6 | 100110 |
| 火        |        6 | 100111 |
| 斜        |        6 | 101000 |
| 陽        |        6 | 101001 |
| 樹        |        6 | 101010 |
| 鄉        |        6 | 101011 |
| 祠        |        6 | 101100 |
| 居        |        6 | 101101 |
| 然        |        6 | 101110 |
| 侯        |        6 | 101111 |
| 命        |        6 | 110000 |
| 氣        |        6 | 110001 |
| 象        |        6 | 110010 |
| 迥        |        6 | 110011 |
| 異        |        6 | 110100 |
| 張        |        6 | 110101 |
| 桐        |        6 | 110110 |
| 城        |        6 | 110111 |
| 則        |        6 | 111000 |
| 翰        |        6 | 111001 |
| 至        |        6 | 111010 |
| 首        |        6 | 111011 |
| 最        |        6 | 111100 |
| 清        |        6 | 111101 |
| 妙        |        6 | 111110 |
| 柳        |        6 | 111111 |
| 陰        |        7 |   0314 |
| 春        |        7 |   1024 |
| 曲        |        7 |   1034 |
| 暮        |        7 |   1124 |
| 山        |        7 |   1134 |
| 葉        |        7 |   1204 |
| 底        |        7 |   1214 |
| 雙        |        7 |   1304 |
| 蝴        |        7 |   1314 |
| 蝶        |        7 |   2004 |
| 先        |        7 |   2014 |
| 臨        |        7 |   2104 |
| 種        |        7 |   2114 |
| 化        |        7 |   3004 |
| 兩        |        7 |   3014 |
| 扈        |        7 |   3104 |
| 蹕        |        7 |   3114 |
| 憐        |        7 |  00004 |
| 龍        |        7 |  00014 |
| 鐘        |        7 |  00104 |
| 叟        |        7 |  00114 |
| 騎        |        7 |  01004 |
| 踏        |        7 |  01014 |
| 冰        |        7 |  01104 |
| 星        |        7 |  01114 |
| 和        |        7 |  10004 |
| 皇        |        7 |  10014 |
| 〈        |        7 |  10104 |
| 箏        |        7 |  10114 |
| 九        |        7 |  11004 |
| 霄        |        7 |  11014 |
| 近        |        7 |  11104 |
| 增        |        7 |  11114 |
| 華        |        7 | 000012 |
| 色        |        7 | 000013 |
| 野        |        7 | 000102 |
| 仗        |        7 | 000103 |
| 寶        |        7 | 000112 |
| 押        |        7 | 000113 |
| 字        |        7 | 001002 |
| 韻        |        7 | 001003 |
| 寄        |        7 | 001012 |
| 托        |        7 | 001013 |
| 遙        |        7 | 001102 |
| 二        |        7 | 001103 |
| 楊        |        7 | 001112 |
| 誠        |        7 | 001113 |
| 齋        |        7 | 010002 |
| 從        |        7 | 010003 |
| 分        |        7 | 010012 |
| 低        |        7 | 010013 |
| 拙        |        7 | 010102 |
| 空        |        7 | 010103 |
| 架        |        7 | 010112 |
| 子        |        7 | 010113 |
| 腔        |        7 | 011002 |
| 口        |        7 | 011003 |
| 易        |        7 | 011012 |
| 描        |        7 | 011013 |
| 專        |        7 | 011102 |
| 寫        |        7 | 011103 |
| 靈        |        7 | 011112 |
| 辦        |        7 | 011113 |
| 餘        |        7 | 100002 |
| 愛        |        7 | 100003 |
| 須        |        7 | 100012 |
| 半        |        7 | 100013 |
| 勞        |        7 | 100102 |
| 思        |        7 | 100103 |
| 婦        |        7 | 100112 |
| 率        |        7 | 100113 |
| 事        |        7 | 101002 |
| 今        |        7 | 101003 |
| 能        |        7 | 101012 |
| 範        |        7 | 101013 |
| 圍        |        7 | 101102 |
| 否        |        7 | 101103 |
| 況        |        7 | 101112 |
| 皋        |        7 | 101113 |
| 歌        |        7 | 110002 |
| 國        |        7 | 110003 |
| 雅        |        7 | 110012 |
| 頌        |        7 | 110013 |
| 豈        |        7 | 110102 |
| 定        |        7 | 110103 |
| 哉        |        7 | 110112 |
| 許        |        7 | 110113 |
| 渾        |        7 | 111002 |
| 似        |        7 | 111003 |
| 成        |        7 | 111012 |
| 仙        |        7 | 111013 |
| 里        |        7 | 111102 |
| 莫        |        7 | 111103 |
| 浪        |        7 | 111112 |
