Laufzeit zum Lösen des Modells: 10.947 s
Gesamtlaufzeit: 10.925 s
Total Length: 3659.7 cm

| Zeichen   |   Kosten |         Wort |
| 頑        |       14 |   0001100002 |
| 架        |       14 |   0010000003 |
| 構        |       14 |   0010000012 |
| 莫        |       14 |   0010000102 |
| 抱        |       14 |   0010001002 |
| 亀        |       14 |   0010010002 |
| 裂        |       14 |   0010100002 |
| 煉        |       14 |   0100000003 |
| 瓦        |       14 |   0100000012 |
| 詰        |       14 |   0100000102 |
| 跡        |       14 |   0100001002 |
| 筋        |       14 |   0100010002 |
| 枠        |       14 |   0100100002 |
| 割        |       14 |   0200000002 |
| 稲        |       14 |   1000000003 |
| 妻        |       14 |   1000000012 |
| 刻        |       14 |   1000000102 |
| 印        |       14 |   1000001002 |
| 諺        |       14 |   1000010002 |
| 半        |       14 |   1000100002 |
| 円        |       14 |   1001000002 |
| 形        |       14 |   1010000002 |
| 背        |       14 |   1100000002 |
| 載        |       14 |   2000000002 |
| ！        |       14 |  00000000003 |
| 胆        |       14 |  00000000012 |
| 連        |       14 |  00000000102 |
| 応        |       14 |  00000001002 |
| ぜ        |       14 |  00000010002 |
| 定        |       14 |  00000100002 |
| 関        |       14 |  00001000002 |
| 天        |       14 |  00010000002 |
| 登        |       14 |  00100000002 |
| ギ        |       14 |  01000000002 |
| ペ        |       14 |  10000000002 |
| 拭        |       14 | 000000000002 |
